paper,group,S1_answer,S2_retrieval_recall,A1_evidence_complete,A2_stop_decision,A3_recovery,A4_trajectory,A5_tool_error,C1_calls,C2_cost,C3_latency,metrics_reported,source_url
Clue-RAG,graph,1,0,0,0,0,0,0,1,1,0,"Acc/F1 answer-only; indexing+per-query tokens; search depth D=1-4; no retrieval metric, no latency",https://arxiv.org/abs/2507.08445
HiRAG,graph,1,0,0,0,0,0,0,0,1,1,"MHQA EM/F1 (2Wiki/HotpotQA) + QFS LLM-judge; tokens+API calls+time ($7.55); no retrieval metric",https://arxiv.org/abs/2503.10150
SimGRAG,graph,1,1,0,0,0,0,0,0,0,1,"Hits@1 (MetaQA/PathQ/WC2014), Acc (FactKG); retrieval Hits@1 (S2); retrieval+e2e latency (C3)",https://arxiv.org/abs/2412.15272
UniKGQA,graph,1,1,0,0,0,0,0,0,0,0,"Hits@1/F1 (WebQSP/CWQ/MetaQA); answer-coverage-rate % (>=1 answer, partial); no cost/latency",https://arxiv.org/abs/2212.00959
StepChain,graph,1,0,0,0,0,0,0,0,0,1,"EM/F1 (MuSiQue/2Wiki/HotpotQA); per-query latency ~80-94s; defers trajectory/recovery to future work",https://arxiv.org/abs/2510.02827
LinearRAG,graph,1,1,1,0,0,0,0,0,1,1,"Contain/GPT-Acc; retrieval recall/relevance; Evidence Recall explicitly checks all necessary information; tokens+time",https://arxiv.org/abs/2510.10114
HopRAG,graph,1,1,0,0,0,0,0,1,1,1,"Answer EM/F1 + Retrieval F1; avg #LLM-calls (C1); per-call tokens; analytically-derived latency (appx A.7)",https://arxiv.org/abs/2502.12442
SiReRAG,graph,1,0,0,0,0,0,0,0,0,1,"EM/F1 (MuSiQue/2Wiki/HotpotQA)+QuALITY/ASQA; measured TPQ latency; retrieval metric explicitly declined",https://arxiv.org/abs/2412.06206
MDR,dense,1,1,1,0,0,1,0,0,0,1,"Answer+Joint+Sup EM/F1 (HotpotQA); joint 2-passage recall; 50-error passage-sequence audit; ~10x inference speed",https://arxiv.org/abs/2009.12756
Beam-Retrieval,dense,1,1,1,0,0,0,0,0,0,0,"Answer/Support/Retrieval EM+F1 (HotpotQA/2Wiki/MuSiQue); Retrieval EM = joint gold-passage-set EM (A1); relative train speed only",https://arxiv.org/abs/2308.08973
